CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-08-25 11:28:01.342000-07:00,2023-08-25 11:31:15.542000-07:00,USAGE,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_READONLY,False,SYSADMIN,2023-08-25 11:31:15.542000-07:00,ROLE
2023-08-25 11:37:33.748000-07:00,2023-08-25 11:37:33.748000-07:00,USAGE,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:37:35.076000-07:00,2023-08-25 11:37:35.076000-07:00,CREATE MATERIALIZED VIEW,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 10:52:28.261000-07:00,2023-08-25 10:52:28.261000-07:00,CREATE SEQUENCE,SCHEMA,PUBLIC,CRIMSON_DEV,PUBLIC,ROLE,CRIMSON_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:28:01.334000-07:00,2023-08-25 11:31:17.880000-07:00,CREATE PROCEDURE,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_EDITOR,False,SYSADMIN,2023-08-25 11:31:17.880000-07:00,ROLE
2023-08-25 11:37:32.946000-07:00,2023-08-25 11:37:32.946000-07:00,USAGE,SCHEMA,PUBLIC,FEM_DEV,PUBLIC,ROLE,FEM_READONLY,False,SYSADMIN,,ROLE
2023-08-25 09:20:55.382000-07:00,2023-08-25 09:50:59.600000-07:00,CREATE MATERIALIZED VIEW,SCHEMA,INTERNAL,ADMINISTRATIVE,INTERNAL,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,2023-08-25 09:50:59.600000-07:00,ROLE
2023-08-31 08:00:14.843000-07:00,2023-08-31 08:00:14.843000-07:00,CREATE FILE FORMAT,SCHEMA,INTERNAL,DATA,INTERNAL,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 09:15:53.714000-07:00,2023-08-25 09:15:53.714000-07:00,USAGE,SCHEMA,PUBLIC,ADMINISTRATIVE,PUBLIC,ROLE,MASKING_ADMIN,False,SYSADMIN,,ROLE
2023-08-31 08:00:15.051000-07:00,2023-08-31 08:00:15.051000-07:00,CREATE VIEW,SCHEMA,SCHEMA2,DATA,SCHEMA2,ROLE,DATA_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 11:37:35.346000-07:00,2023-08-25 11:37:35.346000-07:00,CREATE SEQUENCE,SCHEMA,TEST,FEM_DEV,TEST,ROLE,FEM_EDITOR,False,SYSADMIN,,ROLE
2023-08-25 09:20:55.433000-07:00,2023-08-25 09:50:59.601000-07:00,CREATE FILE FORMAT,SCHEMA,INTERNAL,ADMINISTRATIVE,INTERNAL,ROLE,ADMINISTRATIVE_EDITOR,False,SYSADMIN,2023-08-25 09:50:59.601000-07:00,ROLE
