CREATED_ON,MODIFIED_ON,PRIVILEGE,GRANTED_ON,NAME,TABLE_CATALOG,TABLE_SCHEMA,GRANTED_TO,GRANTEE_NAME,GRANT_OPTION,GRANTED_BY,DELETED_ON,GRANTED_BY_ROLE_TYPE
2023-07-28 12:27:16.238000-07:00,2023-07-28 12:27:16.238000-07:00,OWNERSHIP,ROLE,FEM_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:21.285000-07:00,2023-07-28 12:27:21.285000-07:00,OWNERSHIP,ROLE,STAGE,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:46.962000-07:00,2023-07-28 12:27:46.962000-07:00,OWNERSHIP,ROLE,WORKGROUP_B_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:22.791000-07:00,2023-07-28 12:27:22.791000-07:00,OWNERSHIP,ROLE,WORKGROUP_A_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:09.563000-07:00,2023-07-28 12:27:09.563000-07:00,OWNERSHIP,ROLE,ALL_IUF_HR_SYSTEMS_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:16.619000-07:00,2023-07-28 12:27:16.619000-07:00,OWNERSHIP,ROLE,FEM_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:15.710000-07:00,2023-07-28 12:27:15.710000-07:00,OWNERSHIP,ROLE,DAYFORCE_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:08.326000-07:00,2023-07-28 12:27:08.326000-07:00,OWNERSHIP,ROLE,ALL_INTERNAL_REPORTS_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:07.856000-07:00,2023-07-28 12:27:07.856000-07:00,OWNERSHIP,ROLE,ALL_EXTERNAL_REPORTS_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:20.630000-07:00,2023-07-28 12:27:20.630000-07:00,OWNERSHIP,ROLE,SMART_RECRUITER_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:11.295000-07:00,2023-07-28 12:27:11.295000-07:00,OWNERSHIP,ROLE,ALL_IUF_SYSTEMS_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:24.051000-07:00,2023-07-28 12:27:24.051000-07:00,OWNERSHIP,ROLE,WORKGROUP_A_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:10.786000-07:00,2023-07-28 12:27:10.786000-07:00,OWNERSHIP,ROLE,ALL_IUF_SYSTEMS_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:18.184000-07:00,2023-07-28 12:27:18.184000-07:00,OWNERSHIP,ROLE,IUF_INTERNAL_REPORTS_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:20.081000-07:00,2023-07-28 12:27:20.081000-07:00,OWNERSHIP,ROLE,SMART_RECRUITER_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:12.311000-07:00,2023-07-28 12:27:12.311000-07:00,OWNERSHIP,ROLE,ALL_IUF_WORKGROUPS_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:22.004000-07:00,2023-07-28 12:27:22.004000-07:00,OWNERSHIP,ROLE,SYSTEM,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:08.904000-07:00,2023-07-28 12:27:08.904000-07:00,OWNERSHIP,ROLE,ALL_INTERNAL_REPORTS_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:14.507000-07:00,2023-07-28 12:27:14.507000-07:00,OWNERSHIP,ROLE,CRIMSON_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:17.160000-07:00,2023-07-28 12:27:17.160000-07:00,OWNERSHIP,ROLE,IUF_EXTERNAL_REPORTS_EDITOR,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:13:15.930000-07:00,2023-07-28 12:13:15.930000-07:00,OWNERSHIP,ROLE,USER_R,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:27:18.846000-07:00,2023-07-28 12:27:18.846000-07:00,OWNERSHIP,ROLE,IUF_INTERNAL_REPORTS_READONLY,,,ROLE,USERADMIN,True,USERADMIN,,ROLE
2023-07-28 12:49:34.794000-07:00,2023-07-28 12:49:34.794000-07:00,EXECUTE TASK,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:34.705000-07:00,2023-07-28 12:49:34.705000-07:00,MONITOR USAGE,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:34.978000-07:00,2023-07-28 12:49:34.978000-07:00,MONITOR,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:35.025000-07:00,2023-07-28 12:49:35.025000-07:00,APPLY MASKING POLICY,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:35.179000-07:00,2023-07-28 12:49:35.179000-07:00,EXECUTE MANAGED TASK,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:34.744000-07:00,2023-07-28 12:49:34.744000-07:00,APPLY ROW ACCESS POLICY,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:34.889000-07:00,2023-07-28 12:49:34.889000-07:00,MONITOR EXECUTION,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:35.012000-07:00,2023-07-28 12:49:35.012000-07:00,CREATE SHARE,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:34.780000-07:00,2023-07-28 12:49:34.780000-07:00,CREATE INTEGRATION,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:34.720000-07:00,2023-07-28 12:49:34.720000-07:00,CREATE ACCOUNT,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
2023-07-28 12:49:35.385000-07:00,2023-07-28 12:49:35.385000-07:00,IMPORT SHARE,ACCOUNT,DG83080,,,ROLE,PYTHONRUN,False,ACCOUNTADMIN,,ROLE
