CREATED_ON,DELETED_ON,NAME,COMMENT,OWNER,ROLE_TYPE,ROLE_DATABASE_NAME
2023-07-27 13:13:04.613000-07:00,2023-07-27 13:42:06.328000-07:00,IUF_INTERNAL_REPORTS_DEV_READONLY,,,ROLE,
2023-07-27 13:48:00.163000-07:00,2023-07-28 12:27:17.674000-07:00,IUF_EXTERNAL_REPORTS_READONLY,,,ROLE,
2023-07-27 13:51:10.048000-07:00,2023-07-28 09:52:04.023000-07:00,DAYFORCE_EDITOR,,,ROLE,
2023-07-27 12:53:31.980000-07:00,2023-07-28 12:27:12.300000-07:00,ALL_IUF_WORKGROUPS_EDITOR,,,ROLE,
2023-07-27 13:48:05.982000-07:00,2023-07-28 07:48:13.371000-07:00,IUF_EXTERNAL_REPORTS_DEV_READONLY,,,ROLE,
2023-07-31 10:01:47.220000-07:00,,WORKGROUP_C_READONLY,,USERADMIN,ROLE,
2023-07-31 09:56:38.361000-07:00,,SMART_RECRUITER_STG_READONLY,,USERADMIN,ROLE,
2023-07-28 12:27:15.125000-07:00,,DAYFORCE_EDITOR,,USERADMIN,ROLE,
2023-07-27 12:39:48.519000-07:00,2023-07-27 13:41:57.664000-07:00,FEM_STG_EDITOR,,,ROLE,
2023-07-28 08:13:33.038000-07:00,2023-07-28 08:15:54.485000-07:00,IUF_INTERNAL_REPORTS_STG_READONLY,,,ROLE,
2023-07-27 13:49:58.598000-07:00,2023-07-28 07:51:32.392000-07:00,WORKGROUP_C_DEV,,,ROLE,
2023-07-27 13:52:02.739000-07:00,2023-07-28 08:03:00.283000-07:00,SMART_RECRUITER_DEV_ADMIN,,,ROLE,
2023-07-27 13:50:57.072000-07:00,2023-07-28 08:02:35.922000-07:00,CRIMSON_STG_EDITOR,,,ROLE,
2023-07-27 12:29:31.712000-07:00,2023-07-27 12:38:24.994000-07:00,FEM_STG_READONLY,,,ROLE,
2023-07-27 13:47:04.144000-07:00,2023-07-28 08:02:49.746000-07:00,FEM_STG,,,ROLE,
2023-07-31 09:13:08.990000-07:00,,ALL_EXTERNAL_WORKGROUPS_READONLY,,USERADMIN,ROLE,
2023-07-31 09:53:55.336000-07:00,,DAYFORCE_STG_READONLY,,USERADMIN,ROLE,
2023-07-28 12:27:08.316000-07:00,,ALL_INTERNAL_REPORTS_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:44.790000-07:00,,WORKGROUP_B_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:13:30.095000-07:00,,IUF_INTERNAL_REPORTS_DEV_EDITOR,,USERADMIN,ROLE,
2023-07-31 09:13:09.771000-07:00,,ALL_EXTERNAL_WORKGROUPS_STG_EDITOR,,USERADMIN,ROLE,
2023-07-28 12:27:07.239000-07:00,,ALL_EXTERNAL_REPORTS_EDITOR,,USERADMIN,ROLE,
2023-07-28 14:25:24.665000-07:00,,CRIMSON_DEV_READONLY,,USERADMIN,ROLE,
2023-07-31 09:12:36.205000-07:00,,STAGING,,USERADMIN,ROLE,
2023-07-28 12:27:45.444000-07:00,,WORKGROUP_B_READONLY,,USERADMIN,ROLE,
2023-07-27 13:47:10.367000-07:00,2023-07-28 07:48:05.486000-07:00,FEM_DEV_EDITOR,,,ROLE,
2023-07-27 13:17:37.695000-07:00,2023-07-27 13:42:08.656000-07:00,IUF_INTERNAL_REPORTS_STG,,,ROLE,
2023-07-27 13:49:55.928000-07:00,2023-07-28 07:50:01.586000-07:00,WORKGROUP_C_READONLY,,,ROLE,
2023-07-27 13:51:54.540000-07:00,2023-07-28 08:03:03.307000-07:00,SMART_RECRUITER_STG_ADMIN,,,ROLE,
2023-07-28 08:13:32.564000-07:00,2023-07-28 09:52:26.254000-07:00,IUF_INTERNAL_REPORTS_EDITOR,,,ROLE,
2023-07-27 13:49:25.532000-07:00,2023-07-28 08:03:07.568000-07:00,WORKGROUP_A_DEV,,,ROLE,
2023-07-27 13:51:12.940000-07:00,2023-07-28 08:02:42.191000-07:00,DAYFORCE_STG_EDITOR,,,ROLE,
2023-07-27 13:04:45.685000-07:00,2023-07-27 13:09:25.468000-07:00,EXTERNAL_REPORTS_DEV_READONLY,,,ROLE,
2023-07-27 13:51:01.383000-07:00,2023-07-28 08:02:32.393000-07:00,CRIMSON_DEV_EDITOR,,,ROLE,
2023-07-27 10:30:36.480000-07:00,,ORGADMIN,Organization administrator can manage organizations and accounts in organizations,,ROLE,
2023-07-27 13:51:59.540000-07:00,2023-07-28 08:03:01.073000-07:00,SMART_RECRUITER_DEV_EDITOR,,,ROLE,
2023-07-28 07:55:16.266000-07:00,2023-07-28 12:27:10.776000-07:00,ALL_IUF_SYSTEMS_EDITOR,,,ROLE,
2023-07-27 13:49:24.559000-07:00,2023-07-28 08:03:10.506000-07:00,WORKGROUP_A_STG_EDITOR,,,ROLE,
2023-07-27 10:30:36.268000-07:00,,PUBLIC,Public role is automatically available to every user in the account.,,ROLE,
2023-07-27 13:49:38.125000-07:00,2023-07-28 07:50:04.153000-07:00,WORKGROUP_B_DEV_EDITOR,,,ROLE,
2023-07-27 13:51:15.076000-07:00,2023-07-28 08:02:37.844000-07:00,DAYFORCE_DEV,,,ROLE,
2023-07-27 13:13:05.020000-07:00,2023-07-27 13:42:05.631000-07:00,IUF_INTERNAL_REPORTS_DEV_EDITOR,,,ROLE,
2023-07-27 13:43:00.175000-07:00,2023-07-28 07:48:19.426000-07:00,IUF_INTERNAL_REPORTS_DEV,,,ROLE,
2023-07-27 13:11:29.984000-07:00,2023-07-27 13:42:00.688000-07:00,IUF_EXTERNAL_REPORTS_EDITOR,,,ROLE,
2023-07-27 13:42:56.013000-07:00,2023-07-28 07:48:18.835000-07:00,IUF_INTERNAL_REPORTS,,,ROLE,
2023-07-27 12:27:24.931000-07:00,2023-07-27 12:38:07.351000-07:00,FEM_READONLY,,,ROLE,
2023-07-27 13:51:39.242000-07:00,2023-07-28 09:58:41.019000-07:00,SMART_RECRUITER_EDITOR,,,ROLE,
